state	min_year	n
Alabama	1874	1
Alabama	1895	1
Alabama	1899	1
Alabama	1905	2
Alabama	1911	3
Alabama	1913	5
Alabama	1914	12
Alabama	1915	15
Alabama	1916	5
Alabama	1920	60
Alabama	1925	34
Alabama	1927	5
Alabama	1928	9
Alabama	1929	2
Alabama	1930	1
Alabama	1931	1
Alabama	1932	2
Alabama	1933	1
Alabama	1935	1
Alabama	1936	5
Alabama	1937	2
Alabama	1938	3
Alabama	1939	2
Alabama	1940	24
Alabama	1941	11
Alabama	1942	7
Alabama	1943	4
Alabama	1944	12
Alabama	1945	19
Alabama	1946	54
Alabama	1947	24
Alabama	1948	32
Alabama	1949	60
Alabama	1950	38
Alabama	1951	34
Alabama	1952	80
Alabama	1953	67
Alabama	1954	64
Alabama	1955	82
Alabama	1956	109
Alabama	1957	112
Alabama	1958	73
Alabama	1959	207
Alabama	1960	120
Alabama	1961	150
Alabama	1962	182
Alabama	1963	176
Alabama	1964	277
Alabama	1965	198
Alabama	1966	256
Alabama	1967	152
Alabama	1968	447
Alabama	1969	305
Alabama	1970	157
Alabama	1971	37
Alabama	1972	33
Alabama	1973	27
Alabama	1974	46
Alabama	1975	23
Alabama	1976	27
Alabama	1977	97
Alabama	1978	11
Alabama	1979	26
Alabama	1980	57
Alabama	1981	82
Alabama	1982	119
Alabama	1983	26
Alabama	1984	34
Alabama	1985	9
Alabama	1986	82
Alabama	1987	35
Alabama	1988	2
Alabama	1989	9
Alabama	1990	4
Alabama	1991	7
Alabama	1992	29
Alabama	1993	18
Alabama	1994	80
Alabama	1995	105
Alabama	1996	1
Alabama	1998	18
Alabama	1999	72
Alabama	2000	32
Alabama	2001	8
Alabama	2002	3
Alabama	2003	1
Alabama	2004	3
Alabama	2005	3
Alabama	2006	2
Alabama	2007	1
Alabama	2009	1
Alabama	2010	1
Alabama	2011	32
Alabama	2012	3
Alabama	2013	1
Alabama	2014	1
Alabama	2017	1
Alaska	1927	1
Alaska	1933	1
Alaska	1935	11
Alaska	1936	22
Alaska	1937	1
Alaska	1942	5
Alaska	1943	4
Alaska	1944	5
Alaska	1945	6
Alaska	1946	6
Alaska	1947	8
Alaska	1948	12
Alaska	1949	70
Alaska	1950	86
Alaska	1951	84
Alaska	1952	81
Alaska	1953	115
Alaska	1954	187
Alaska	1955	257
Alaska	1956	141
Alaska	1957	88
Alaska	1958	185
Alaska	1959	127
Alaska	1960	73
Alaska	1961	103
Alaska	1962	154
Alaska	1963	124
Alaska	1964	162
Alaska	1965	196
Alaska	1966	169
Alaska	1967	231
Alaska	1968	172
Alaska	1969	221
Alaska	1970	215
Alaska	1971	227
Alaska	1972	379
Alaska	1973	337
Alaska	1974	404
Alaska	1975	490
Alaska	1976	684
